dimension,lambda_start_frac,lambda_block_cca,antisymmetric_planes,metric,n,mean,ci95_low,ci95_high,ci95_half_width
512,1.0,10.0,-1,checkpoint_score,4,0.2500706533,0.2457294568,0.2544118499,0.004341196558
512,1.0,10.0,-1,validation_zeta,4,0.2446755,0.2376331294,0.2517178706,0.007042370598
512,1.0,10.0,-1,validation_loss,4,-0.0047255,-0.006828520181,-0.002622479819,0.002103020181
512,1.0,10.0,-1,regularization_whole_batch_total_raw,4,0.0004645,0.0004424322341,0.0004865677659,2.206776591e-05
512,1.0,10.0,-1,checkpoint_regularization_lambda,4,10,10,10,0
512,1.0,10.0,-1,frozen_decoder_accuracy,4,0.5820256585,0.5612447159,0.6028066012,0.02078094266
512,1.0,10.0,-1,frozen_decoder_balanced_accuracy,4,0.5822320218,0.561872139,0.6025919046,0.02035988281
512,1.0,10.0,-1,frozen_decoder_macro_f1,4,0.581518826,0.5633438486,0.5996938034,0.01817497739
512,1.0,10.0,-1,frozen_decoder_best_val_acc,4,0.5820256472,0.5612447127,0.6028065816,0.02078093442
512,1.0,10.0,-1,frozen_decoder_best_val_ce,4,1.47212103,0.9508270228,1.993415037,0.5212940073
512,1.0,10.0,-1,frozen_decoder_test_accuracy,4,0.5221916724,0.4412899515,0.6030933932,0.08090172085
512,1.0,10.0,-1,frozen_decoder_test_balanced_accuracy,4,0.5221823962,0.4412671626,0.6030976297,0.08091523353
512,1.0,10.0,-1,frozen_decoder_test_macro_f1,4,0.5208808065,0.4377631255,0.6039984876,0.08311768105
64,1.0,10.0,-1,embedding_val_zeta,4,0.2814081152,0.2630147012,0.2998015291,0.01839341399
64,1.0,10.0,-1,embedding_val_mean_plane_zeta,4,0.2728517428,0.2702905853,0.2754129003,0.002561157489
64,1.0,10.0,-1,checkpoint_score,4,0.2728517428,0.2702905853,0.2754129003,0.002561157489
64,1.0,10.0,-1,validation_zeta,4,0.28140825,0.2630147463,0.2998017537,0.01839350369
64,1.0,10.0,-1,validation_loss,4,-0.01294575,-0.02230098377,-0.003590516228,0.009355233772
64,1.0,10.0,-1,regularization_whole_batch_total_raw,4,0.00027725,0.0002163610191,0.0003381389809,6.088898094e-05
64,1.0,10.0,-1,checkpoint_regularization_lambda,4,10,10,10,0
64,1.0,10.0,-1,frozen_decoder_accuracy,4,0.5850102081,0.5616112679,0.6084091483,0.02339894024
64,1.0,10.0,-1,frozen_decoder_balanced_accuracy,4,0.5855707179,0.5613698189,0.609771617,0.02420089905
64,1.0,10.0,-1,frozen_decoder_macro_f1,4,0.5847037392,0.5607268316,0.6086806468,0.02397690758
64,1.0,10.0,-1,frozen_decoder_best_val_acc,4,0.5850102007,0.5616112669,0.6084091345,0.0233989338
64,1.0,10.0,-1,frozen_decoder_best_val_ce,4,1.359405309,0.8677494923,1.851061126,0.4916558166
64,1.0,10.0,-1,frozen_decoder_test_accuracy,4,0.5257173449,0.4480313434,0.6034033464,0.07768600147
64,1.0,10.0,-1,frozen_decoder_test_balanced_accuracy,4,0.5256560097,0.4479332543,0.6033787651,0.07772275537
64,1.0,10.0,-1,frozen_decoder_test_macro_f1,4,0.5226654852,0.4504208941,0.5949100763,0.07224459109
